,http://www.scion-sample.org/,http://www.scion-sample.org/favicon.ico,http://www.scion-sample.org/hello-world,http://www.scion-sample.org/sample-json,http://www.scion-sample.org/sample-text,http://www.scion-sample.org:8899/SCION_Lec.m3u8,http://www.scion-sample.org:8899/SCION_Lec_100.m4s,http://www.scion-sample.org:8181/sample-image,http://www.scion-sample.org:8181/sample-gif,http://www.scion-sample.org:8181/sample-audio,http://www.scion-sample.org:8181/sample-video
fetch_0,0.8436532020568848,0.20838570594787598,0.06466412544250488,0.06745004653930664,0.0672752857208252,0.16319942474365234,0.4026186466217041,0.1568770408630371,0.40894055366516113,5.089016914367676,117.92139339447021
fetch_1,0.06706833839416504,0.13561248779296875,0.06454706192016602,0.06405973434448242,0.06731128692626953,0.06899547576904297,0.24738645553588867,0.06734108924865723,0.26571202278137207,6.0018980503082275,107.73272180557251
fetch_2,0.06717801094055176,0.10093164443969727,0.06744050979614258,0.06536078453063965,0.06749868392944336,0.07079839706420898,0.29770398139953613,0.0702362060546875,0.40679931640625,6.2538464069366455,104.73199892044067
fetch_3,0.06932520866394043,0.09556221961975098,0.06455636024475098,0.06695270538330078,0.06489968299865723,0.06812667846679688,0.3308548927307129,0.06415009498596191,0.5424833297729492,5.364568471908569,108.79578948020935
fetch_4,0.06707048416137695,0.09430456161499023,0.06725764274597168,0.06496739387512207,0.06760025024414062,0.06740283966064453,0.32121825218200684,0.0648965835571289,0.5955483913421631,7.319525480270386,102.0247814655304
